new출발터미널,총이용시간,평균이용시간
255,13 days 19:53:34,0 days 00:24:49.793017456
256,1 days 15:16:41,0 days 00:42:50.927272727
257,6 days 15:39:42,0 days 00:18:23.228406909
259,18 days 21:54:33,0 days 00:17:41.775828460
260,5 days 07:55:25,0 days 00:15:02.990196078
261,4 days 23:23:19,0 days 00:14:57.283924843
263,88 days 02:51:15,0 days 00:16:19.855212355
266,22 days 07:49:43,0 days 00:21:58.511961722
267,42 days 00:07:28,0 days 00:16:00.118518518
268,15 days 07:53:34,0 days 00:14:44.712090848
269,4 days 03:43:52,0 days 00:26:28.637168141
270,5 days 11:13:47,0 days 08:44:55.133333333
271,1 days 07:44:12,0 days 00:22:40.142857142
272,29 days 00:25:35,0 days 00:17:31.209643605
273,12 days 08:30:55,0 days 00:19:05.337982832
274,37 days 17:03:31,0 days 00:16:50.924914675
275,27 days 07:36:03,0 days 00:21:38.933957072
277,24 days 04:39:13,0 days 00:15:59.317576870
279,13 days 11:41:06,0 days 00:14:42.109008327
280,32 days 10:26:21,0 days 00:20:41.089902568
282,13 days 09:38:08,0 days 00:19:56.165289256
283,8 days 06:52:41,0 days 00:26:34.567928730
284,8 days 09:44:17,0 days 00:12:40.478534031
285,18 days 04:51:04,0 days 00:17:13.287779237
286,8 days 11:56:47,0 days 00:18:32.434848484
287,10 days 06:19:20,0 days 00:15:47.393162393
288,19 days 13:19:18,0 days 00:19:08.577838205
290,15 days 01:00:36,0 days 00:26:44.488888888
291,14 days 00:24:20,0 days 00:19:12.293054234
292,7 days 01:30:27,0 days 00:20:08.370297029
