,터미널명,주소,위도,경도,보관대수,관광지,터미널번호,주변 터미널 유무,주변관광지,가볼만한장소,출발터미널,도착대수,출발대수
52,해군의집,경남 창원시 진해구 도천동  중장로 13 도로,35.15333913,128.6545104,24,군항문화탐방,169,TRUE,,,,,
43,진해여중옆,경남 창원시 진해구 여좌동  218 도로,35.15534571,128.6593115,20,군항문화탐방,170,TRUE,,,,,
23,양덕동메트로시티앞,경남 창원시 마산회원구 양덕동  84-15,35.2282243,128.5811668,20,3.18아트 센터 앞,198,TRUE,,,,,
0,3.15아트 센터 앞,경남 창원시 마산회원구 양덕동  531-2 공원,35.22557773,128.5784376,19,3.15아트 센터 앞,199,TRUE,,마산야구센터,,,
12,마산종합운동장사거리(롯데마트쪽),경남 창원시 마산회원구 양덕동  84-14,35.2231856,128.5845317,38,3.19아트 센터 앞,200,TRUE,,,,,
1,KT마산지점앞,경남 창원시 마산합포구 서성동  66-14도로,35.20299787,128.5711205,20,문신미술관,204,TRUE,돝섬유원지,"부림시장,마산어시장",,,
24,어시장 정문,경남 창원시 마산합포구 신포동2가  118 도로,35.20107794,128.5759056,20,돝섬유원지,206,TRUE,,마산어시장,,,
4,경남은행 본점 앞,경남 창원시 마산회원구 석전동  267 도로,35.23023141,128.5766995,20,3.16아트 센터 앞,212,TRUE,,,,,
36,진해고등학교,경남 창원시 진해구 여좌동  150-1도,35.15975782,128.6628091,26,진해내수면환경생태공원,222,TRUE,,,,,
21,소죽도 찜질방,경남 창원시 진해구 덕산동  585번지 소죽도찜질방,35.14095425,128.6888427,14,진해해양레포츠센터,234,TRUE,,,,,
31,정부경남지방합동청사,경남 창원시 마산합포구 신포동1가  76-3,35.195964,128.571611,20,돝섬유원지,237,TRUE,,,,,
13,마산회원도서관,경남 창원시 마산회원구 회원동  72-2,35.223758,128.572957,20,3.17아트 센터 앞,239,TRUE,,,,,
19,사림동성당 뒤,경남 창원시 의창구 사림동  106-1,35.2476401,128.679074,20,창원의집,244,TRUE,창원경륜장,,,,
11,마산 이마트건너편,경남 창원시 마산합포구 신포동1가  49,35.197943,128.570482,25,돝섬유원지,247,TRUE,,,,,
32,정우상가앞,경남 창원시 성산구 용호동  505,35.2285487,128.6789816,25,성산아트홀,253,TRUE,,,,,
28,웅천동주민센터,경남 창원시 진해구 성내동  376(웅천행정복지센터),35.1111448,128.7498012,12,주기철목사기념관,272,TRUE,,웅천읍성,,,
33,주남저수지 주차장,경남 창원시 의창구 동읍 월잠리 303-7,35.3060586,128.6782436,14,주남저수지,276,TRUE,,,,,
38,진해공설운동장,경남 창원시 진해구 도만동  19 진해공설운동장사거리,35.1496686,128.6557247,19,제황산공원-모노레일,277,TRUE,,,,,
37,진해공설운동장,경남 창원시 진해구 도만동  19 진해공설운동장사거리,35.1496686,128.6557247,19,군항문화탐방,277,TRUE,,,,,
49,퇴촌2호교 삼거리,경남 창원시 의창구 사림동  501-19(도),35.2421229,128.6855918,20,창원의집,285,TRUE,,,,,
15,봉암변전소,경남 창원시 마산회원구 봉암동  660-123),35.2129814,128.6001232,20,봉암유원지,290,TRUE,,,,,
50,,,35.0772,128.587,,로봇랜드,,FALSE,저도비치로드,구복예술촌,,,
51,,,35.0591,128.569,,저도비치로드,,FALSE,콰이강의다리 스카이워크,,,,
52,,,35.0915,128.7197,,진해해양공원,,FALSE,창원짚트랙,,,,
53,,,35.29915488,128.6632468,,창원단감테마공원,,FALSE,주남저수지,,,,
54,,,35.0924,128.7192,,창원짚트랙,,FALSE,진해해양공원,,,,
55,,,35.2603,128.6644,,창원컨트리클럽,,FALSE,,,,,
56,,,35.0676,128.5629,,콰이강의다리 스카이워크,,FALSE,"저도비치로드,로봇랜드",,,,
57,,,35.1101,128.5413,,해양드라마세트장,,FALSE,,해양관광로,,,
60,,,35.12738997,128.8155983,,웅천도요지전시관,,FALSE,,,,,
