번호,터미널명,주소,보관대수
28,명서1민원센터, 경남 창원시 의창구 명서동 ,15
27,명서2민원센터, 경남 창원시 의창구 명서동 ,25
26,명서다리 앞 버스정류소, 경남 창원시 의창구 명서동 ,24
124,명서다리(명서동2동), 경남 창원시 의창구 명서동 ,20
25,명서중학교 정문, 경남 창원시 의창구 명서동 ,20
105,명서초 버스정류소, 경남 창원시 의창구 명서동 ,25
208,무학빌라앞(월남교), 경남 창원시 마산합포구 문화동 ,20
52,무학상가 앞, 경남 창원시 성산구 용호동 ,26
128,문성고 맞은편, 경남 창원시 성산구 반지동 ,20
39,반지민원센터, 경남 창원시 성산구 반지동 ,23
75,법원 앞, 경남 창원시 성산구 사파동 ,19
34,봉곡중앙어린이공원, 경남 창원시 의창구 봉곡동 ,24
220,봉림동주민센터, 경남 창원시 의창구 봉림동 ,29
35,봉림상가사거리, 경남 창원시 의창구 봉곡동 ,29
236,봉림휴먼시아1단지앞공원, 경남 창원시 의창구 봉림동 ,20
255,봉암동 버스정류소앞, 경남 창원시 마산회원구 봉암동 ,23
290,봉암변전소, 경남 창원시 마산회원구 봉암동 ,20
275,부산신항사랑으로 부영3단지입구, 경남 창원시 진해구 용원동 ,16
117,북면사무소, 경남 창원시 의창구 북면 신촌리,10
168,북면족욕체험장, 경남 창원시 의창구 북면 신촌리,9
162,사림동 사격장, 경남 창원시 의창구 사림동 ,20
107,사림동버스정류소, 경남 창원시 의창구 사림동 ,24
244,사림동성당 뒤, 경남 창원시 의창구 사림동 ,20
36,사림민원센터옆 노외주차장, 경남 창원시 의창구 사림동 ,20
138,사파대동상가, 경남 창원시 성산구 사파동 ,30
254,사파동 주택지 공영주차장, 경남 창원시 성산구 사파동 ,23
77,사파동성아파트, 경남 창원시 성산구 사파동 ,25
268,사파동임시공영주차장, 경남 창원시 성산구 사파동 ,10
79,사파동주민센터옆, 경남 창원시 성산구 대방동 ,24
137,사파무궁화아파트, 경남 창원시 성산구 사파동 ,20
76,사파민원센터옆, 경남 창원시 성산구 사파동 ,25
113,사파삼익아파트 버스정류소, 경남 창원시 성산구 사파동 ,30
266,사화사거리(창원드림타운앞보도), 경남 창원시 의창구 팔용동 ,19
219,삼정자동프리빌리지2차, 경남 창원시 성산구 삼정자동 ,16
245,상남꿈에그린아파트정문, 경남 창원시 성산구 상남동 ,30
73,상남도서관, 경남 창원시 성산구 가음정동 ,19
293,상남동 공영주차빌딩, 경남 창원시 성산구 상남동 ,21
70,상남동주민센터, 경남 창원시 성산구 상남동 ,20
68,상남분수공원, 경남 창원시 성산구 상남동 ,40
112,상남오거리, 경남 창원시 성산구 상남동 ,25
205,새롬아파트 앞, 경남 창원시 마산합포구 동성동 ,21
24,서부경찰서 버스정류소, 경남 창원시 의창구 명서동 ,14
241,석동 하나로마트 앞, 경남 창원시 진해구 석동 ,22
282,석전동 메트로시티, 경남 창원시 마산회원구 석전동 ,20
91,성산구청, 경남 창원시 성산구 성주동 ,24
259,성산스포츠센터, 경남 창원시 성산구 남양동 ,28
71,성원 그랜드쇼핑 앞, 경남 창원시 성산구 상남동 ,33
78,성원3차아파트 버스정류소, 경남 창원시 성산구 사파정동 ,28
72,성원중앙상가, 경남 창원시 성산구 상남동 ,32
146,성주 유니온빌리지, 경남 창원시 성산구 삼정자동 ,23
167,성주동 루이젠하우스 정류소, 경남 창원시 성산구 삼정자동 ,20
166,성주동 정동사거리, 경남 창원시 성산구 성산동 ,30
294,성주동 해성디에스 정문, 경남 창원시 성산구 남산동 ,24
92,성주동주민센터, 경남 창원시 성산구 성주동 ,20
89,성주동한화테크윈정문, 경남 창원시 성산구 성주동 ,20
93,성주프리빌리지 버스정류소, 경남 창원시 성산구 대방동 ,30
101,소계동 SK주유소앞, 경남 창원시 의창구 소계동 ,25
82,소라아파트앞, 경남 창원시 성산구 가음정동 ,40
234,소죽도 찜질방, 경남 창원시 진해구 덕산동 ,14
173,속천종점, 경남 창원시 진해구 태평동 ,19
69,시민생활체육관, 경남 창원시 성산구 상남동 ,44
58,시청사거리(옛한서병원), 경남 창원시 성산구 중앙동 ,29
127,시티세븐 건너편, 경남 창원시 성산구 반지동 ,23
66,신월서머나교회옆, 경남 창원시 성산구 신월동 ,16
135,신월성산복지회관, 경남 창원시 성산구 신월동 ,20
65,신월주공상가, 경남 창원시 성산구 신월동 ,25
64,신월주민운동장, 경남 창원시 성산구 신월동 ,24
267,신촌단지입구(한국철강맞은편), 경남 창원시 성산구 신촌동 ,20
274,신항중학교, 경남 창원시 진해구 용원동 ,17
154,신흥동 해군아파트 앞, 경남 창원시 진해구 신흥동 ,18
147,안민동 정자나무, 경남 창원시 성산구 안민동 ,19
291,양덕동 경남은행, 경남 창원시 마산회원구 양덕동 ,20
201,양덕동 삼각지 공원, 경남 창원시 마산회원구 양덕동 ,21
198,양덕동메트로시티앞, 경남 창원시 마산회원구 양덕동 ,20
197,양덕초등학교 앞, 경남 창원시 마산회원구 양덕동 ,17
206,어시장 정문, 경남 창원시 마산합포구 신포동2가 ,20
231,오동동 삼성생명앞, 경남 창원시 마산합포구 오동동 ,20
203,용마고 앞, 경남 창원시 마산합포구 산호동 ,22
279,용원공영주차빌딩, 경남 창원시 진해구 용원동 ,15
286,용원동 애플타운상가 옆, 경남 창원시 진해구 용원동 ,17
242,용원하나로마트(맞은편), 경남 창원시 진해구 용원동 ,15
56,용지동 주민센터, 경남 창원시 성산구 용호동 ,30
129,용지사거리, 경남 창원시 성산구 반림동 ,20
130,용지아이파크 건너편, 경남 창원시 성산구 중앙동 ,20
57,용지호수, 경남 창원시 성산구 용호동 ,25
53,용호동 35번지 공원옆, 경남 창원시 성산구 용호동 ,24
195,우리누리청소년문화센터, 경남 창원시 마산회원구 합성동 ,24
185,우성아파트 버스정류소 앞, 경남 창원시 진해구 풍호동 ,23
188,웅2동 청안공원, 경남 창원시 진해구 용원동 ,11
215,웅남동 상복사거리, 경남 창원시 성산구 웅남동 ,19
165,웅남동 창곡삼거리, 경남 창원시 성산구 웅남동 ,20
164,웅남동 효성굿스프링스 앞, 경남 창원시 성산구 웅남동 ,20
94,웅남동주민센터, 경남 창원시 성산구 웅남동 ,15
270,웅천남문지구(시티프라디움사거리), 경남 창원시 진해구 남문동 ,15
272,웅천동주민센터, 경남 창원시 진해구 성내동 ,12
8,원풍벽산 입구 하천옆, 경남 창원시 의창구 팔용동 ,25
210,월영광장, 경남 창원시 마산합포구 해운동 ,21
224,월영동한국방송통신대학앞, 경남 창원시 마산합포구 해운동 ,20
223,월영마을, 경남 창원시 마산합포구 월영동 ,27
278,유니시티2단지 공원, 경남 창원시 의창구 중동 ,29
202,육호광장, 경남 창원시 마산합포구 상남동 ,16
3,윤병원 건너편, 경남 창원시 의창구 서상동 ,20
62,은아상가, 경남 창원시 성산구 신월동 ,25
63,은아아파트 정문, 경남 창원시 성산구 신월동 ,33
119,의안민원센터, 경남 창원시 의창구 북동 ,20
4,의안어린이집 주차장, 경남 창원시 의창구 소답동 ,15
22,의창구청, 경남 창원시 의창구 도계동 ,20
218,의창노인종합복지관, 경남 창원시 의창구 명곡동 ,31
54,의창도서관, 경남 창원시 성산구 반송동 ,28
118,의창동 태광주유소, 경남 창원시 의창구 서상동 ,20
103,의창스포츠센터, 경남 창원시 의창구 도계동 ,30
183,이동우체국, 경남 창원시 진해구 이동 ,20
100,자여민원센터, 경남 창원시 의창구 동읍 송정리,10
214,자은동사회복지센터 버스정류소, 경남 창원시 진해구 자은동 ,19
273,자은센트럴빌리지, 경남 창원시 진해구 자은동 ,31
230,장미공원, 경남 창원시 성산구 가음동 ,25
237,정부경남지방합동청사, 경남 창원시 마산합포구 신포동1가 ,20
253,정우상가앞, 경남 창원시 성산구 용호동 ,25
276,주남저수지 주차장, 경남 창원시 의창구 동읍 월잠리,14
5,중동사거리(메트로병원맞은편), 경남 창원시 의창구 소답동 ,20
55,중앙고 버스정류소, 경남 창원시 성산구 용호동 ,29
95,중앙공원, 경남 창원시 성산구 신촌동 ,15
216,중앙동 BNG사원아파트 앞, 경남 창원시 성산구 내동 ,32
46,중앙동 여우비공원(중앙시장옆), 경남 창원시 성산구 중앙동 ,15
33,지귀상가, 경남 창원시 의창구 봉곡동 ,19
257,진해 덕산동 주민센터, 경남 창원시 진해구 풍호동 ,19
153,진해 중원쉼터, 경남 창원시 진해구 평안동 ,25
251,진해LH자은프라임앞, 경남 창원시 진해구 자은동 ,37
222,진해고등학교, 경남 창원시 진해구 여좌동 ,26
277,진해공설운동장, 경남 창원시 진해구 도만동 ,19
186,진해구청, 경남 창원시 진해구 풍호동 ,18
151,진해도서관, 경남 창원시 진해구 여좌동 ,20
189,진해동부도서관, 경남 창원시 진해구 용원동 ,8
179,진해롯데마트옆시내버스정류장, 경남 창원시 진해구 석동 ,25
155,진해루, 경남 창원시 진해구 경화동 ,30
252,진해마린푸르지오앞, 경남 창원시 진해구 풍호동 ,20
262,진해시외버스터미널 옆(황실뷔페앞), 경남 창원시 진해구 인의동 ,20
170,진해여중옆, 경남 창원시 진해구 여좌동 ,20
177,진해중앙고삼거리, 경남 창원시 진해구 경화동 ,24
178,진해홈플러스건너편, 경남 창원시 진해구 경화동 ,20
11,차룡119안전센터, 경남 창원시 의창구 팔용동 ,15
148,창원 중앙역, 경남 창원시 의창구 용동 ,32
15,창원 컨벤션센터 앞, 경남 창원시 성산구 반지동 ,32
243,창원고등학교, 경남 창원시 의창구 도계동 ,24
280,창원과학고버스정류소, 경남 창원시 의창구 중동 ,25
131,창원남고삼거리, 경남 창원시 성산구 외동 ,28
51,창원남중버스정류소앞, 경남 창원시 성산구 외동 ,20
37,창원대학교앞, 경남 창원시 의창구 퇴촌동 ,30
115,창원도서관, 경남 창원시 성산구 중앙동 ,30
19,창원레포츠파크(창원경륜장), 경남 창원시 성산구 중앙동 ,50
17,창원문성대학, 경남 창원시 성산구 중앙동 ,25
49,창원병원, 경남 창원시 성산구 중앙동 ,25
134,창원상공회의소, 경남 창원시 성산구 신월동 ,20
23,창원시립곰두리체육센터, 경남 창원시 의창구 도계동 ,19
12,창원시외버스터미널 옆, 경남 창원시 의창구 팔용동 ,25
59,창원시청, 경남 창원시 성산구 용호동 ,40
1,창원역, 경남 창원시 의창구 동정동 ,30
139,창원축구센터, 경남 창원시 성산구 사파정동 ,30
48,창원호텔삼거리, 경남 창원시 성산구 중앙동 ,24
13,창원홈플러스, 경남 창원시 의창구 팔용동 ,30
18,충혼탑, 경남 창원시 성산구 대원동 ,20
109,캔버라호텔 옆, 경남 창원시 성산구 중앙동 ,26
32,코오롱아파트 버스정류소, 경남 창원시 의창구 봉곡동 ,28
175,태백동중초교, 경남 창원시 진해구 경화동 ,15
285,퇴촌2호교 삼거리, 경남 창원시 의창구 사림동 ,20
43,트리비앙상가 주차장, 경남 창원시 성산구 반림동 ,13
30,파티마병원, 경남 창원시 의창구 명서동 ,30
120,팔용동 원풍벽산C단지, 경남 창원시 의창구 팔용동 ,20
121,팔용동서식품, 경남 창원시 의창구 팔용동 ,20
7,팔용종합상가, 경남 창원시 의창구 팔용동 ,26
184,풍호초등학교사거리, 경남 창원시 진해구 덕산동 ,17
61,한국전력공사, 경남 창원시 성산구 신월동 ,25
116,한국폴리텍대학정문, 경남 창원시 성산구 중앙동 ,25
83,한림엘리시온아파트 버스정류소, 경남 창원시 성산구 가음동 ,20
288,한마음병원옆 공원, 경남 창원시 의창구 사림동 ,31
283,합성동 롯데캐슬, 경남 창원시 마산회원구 합성동 ,20
169,해군의집, 경남 창원시 진해구 도천동 ,24
29,허앤리병원 버스정류소, 경남 창원시 의창구 명서동 ,25
260,현동농협 앞, 경남 창원시 마산합포구 현동 ,14
256,현동초등학교 앞, 경남 창원시 마산합포구 현동 ,16
227,회성동한효맨션, 경남 창원시 마산회원구 회성동 ,15
269,회원동농협, 경남 창원시 마산회원구 회원동 ,8
229,회원동팔거리, 경남 창원시 마산회원구 회원동 ,19
